name,twnumber,preferred_name,comments
1011-84,TW00838,1011-84,
1326-84,TW00839,1326-84,
161-84,TW00840,161-84,
1923-82,TW00841,1923-82,
3016-85,TW00843,3016-85,
3100-85,TW00844,3100-85,
3123-85,TW00845,3123-85,
3148-85,TW00846,3148-85,
3199-85,TW00847,3199-85,
3205-85,TW00848,3205-85,
3230-85,TW00849,3230-85,
3299-85,TW00850,DEC3A,
DEC3A,TW00850,DEC3A,
3309-85,TW00851,3309-85,
3324-85,TW00852,3324-85,
3344-85,TW00853,3344-85,
3354-85,TW00854,3354-85,
3369-85,TW00855,3369-85,
3370-85,TW00856,3370-85,
3398-85,TW00857,3398-85,
3404-85A,TW00858,3404-85A,
3405-85A,TW00859,3405-85A,
3406-85,TW00860,3406-85,
3444-85,TW00861,3444-85,
3460-85,TW00862,3460-85,
3502-85A,TW00863,3502-85A,
A7793-B1,TW00864,A7793-B1,
A7795-C2,TW00865,A7795-C2,
A7818,TW00866,A7818,
A8184-M3,TW00867,A8184-M3,
AOB-35,TW00867,A8184-M3,
A8187-M8,TW00868,A8187-M8,
A8188-B3,TW00869,A8188-B3,
A8189-M1,TW00870,A8189-M1,
A8190-M8,TW00871,A8190-M8,
A8362-C1,TW00872,A8362-C1,
A8469,TW00873,A8469,
A9047-CS1,TW00874,A9047-CS1,
AOB-29,TW00874,A9047-CS1,
A9124-1,TW00875,A9124-1,
A9167-1,TW00876,A9167-1,
AOB-5,TW00876,A9167-1,
A9218-C2,TW00877,A9218-C2,
A9686-3,TW00878,A9686-3,
A9894-CS1,TW00879,A9894-CS1,
B1190-1,TW00880,B1190-1,
B1328-C10,TW00882,B1328-C10,
B1347-C2,TW00883,B1347-C2,
B1375-GC2,TW00884,B1375-GC2,
1271-84,TW00885,1271-84,
AOB-46,TW00885,1271-84,
"ATCC 43889",TW00885,1271-84,
B1409-C1,TW00885,1271-84,
B1476-SC1,TW00886,B1476-SC1,
B6181-MS2,TW00887,B6181-MS2,
B6221-MS2,TW00888,B6221-MS2,
B6226-MS1,TW00889,B6226-MS1,
B6232-MS1,TW00890,B6232-MS1,
B6422-MS1,TW00891,B6422-MS1,
B6462-MS1,TW00892,B6462-MS1,
B6468-MS1,TW00893,B6468-MS1,
B6472-MS1,TW00894,B6472-MS1,
B6493-MS1,TW00895,B6493-MS1,
B6498-MS1,TW00896,B6498-MS1,
B6500-MS1,TW00897,B6500-MS1,
B6501-MS2,TW00898,B6501-MS2,
B6502-MS1,TW00899,B6502-MS1,
B6504-MS1,TW00900,B6504-MS1,
B6550-MS1,TW00901,B6550-MS1,
B6820-MS1,TW00902,B6820-MS1,
B6825-MS1,TW00903,B6825-MS1,
B6830-MS1,TW00904,B6830-MS1,
B7035,TW00905,B7035,
B7162-MS1,TW00906,B7162-MS1,
B7197-MS1,TW00907,B7197-MS1,
B7202-MS4,TW00908,B7202-MS4,
B7205-MS1,TW00909,B7205-MS1,
B7318-MS1,TW00910,B7318-MS1,
B7565-MS1,TW00911,B7565-MS1,
B7587-MS1,TW00912,B7587-MS1,
B7856,TW00913,B7856,
B8038-MS1,TW00914,B8038-MS1,
B8124,TW00915,B8124,
C586-65,TW00947,DEC5D,MLST-1
DEC5D,TW00947,DEC5D,
C654-65,TW00950,C654-65,
C72-65,TW00953,C72-65,
C814-67,TW00958,DEC9D,
DEC9D,TW00958,DEC9D,
C915-68,TW00959,C915-68,
C997-63,TW00962,DEC5E,
DEC5E,TW00962,DEC5E,
3124-85,TW00963,3124-85,
75-83,TW00964,75-83,MLST-2
A9619-C2,TW00965,DEC11C,
DEC11C,TW00965,DEC11C,
3143-85B,TW00967,3143-85B,
3288-85,TW00968,3288-85,
3377-85,TW00969,3377-85,
3047-86,TW00971,DEC10B,
DEC10B,TW00971,DEC10B,
3056-86,TW00972,3143-85B,
8153B-86,TW00973,8153B-86,
3056-85,TW00974,3377-85,
2886-75,TW00975,2886-75,
3417-86,TW00976,3417-86,
"ATCC 43888",TW00976,3417-86,
B6914-MS1,TW00976,3417-86,
A7787-C4,TW00977,A7787-C4,
B5311-C1,TW00979,B5311-C1,
B5329,TW00980,B5329,
326-84,TW00981,326-84,
1194-84,TW00982,1194-84,
B1476-SCI,TW00983,B1476-SCI,
B6226-MSI,TW00993,B6226-MSI,
2384-81,TW01100,DEC13E,
DEC13E,TW01100,DEC13E,
9088-83,TW01114,DEC14C,
DEC14C,TW01114,DEC14C,
1173-83,TW01179,1173-83,
1177-83,TW01181,1177-83,
1178-83,TW01182,1178-83,
1557-77,TW01188,DEC10C,
AOB-8,TW01188,DEC10C,
DEC10C,TW01188,DEC10C,
194-83,TW01191,194-83,
2184-76,TW01193,2184-76,
2239-69,TW01195,2239-69,
2262-79,TW01196,DEC9B,
DEC9B,TW01196,DEC9B,
2451-75,TW01197,2451-75,
2595-72,TW01198,2595-72,
2623-71,TW01199,2623-71,
2666-74,TW01200,DEC9F,MLST-1
DEC9F,TW01200,DEC9F,
2738-74,TW01201,2738-74,
3157-74,TW01203,3157-74,
3323-61,TW01206,DEC9A,
DEC9A,TW01206,DEC9A,
3324-69,TW01207,3324-69,
3360-70,TW01208,3360-70,
4109-71,TW01210,4109-71,
4482-74,TW01213,4482-74,
4766-71,TW01214,4766-71,
4920-73,TW01215,4920-73,
B8037-C1,TW01223,B8037-C1,
DEC11F,TW01236,DEC11F,
E74/68,TW01236,DEC11F,
"Teeside 67",TW01236,DEC11F,
DEC1C,TW01279,DEC1C,
F196-51,TW01279,DEC1C,"bundlin study"
DEC2D,TW01280,DEC2D,
F60-51,TW01280,DEC2D,"bundlin study"
C1520-77,TW01286,DEC4A,
DEC4A,TW01286,DEC4A,
C363-83,TW01287,C363-83,
C374-83,TW01288,DEC4C,
DEC4C,TW01288,DEC4C,
C681-87,TW01289,DEC4D,
DEC4D,TW01289,DEC4D,
C7-88,TW01290,DEC4E,
DEC4E,TW01290,DEC4E,
C999-87,TW01291,DEC4B,
DEC4B,TW01291,DEC4B,
CB1009,TW01292,CB1009,
CB1143,TW01293,CB1143,
CB1226,TW01295,CB1226,
CB1227,TW01296,CB1227,
CB429,TW01297,CB429,
CB430,TW01298,CB430,
CB569,TW01299,CB569,
CB570,TW01300,CB570,
CB571,TW01301,CB571,
CB573,TW01303,CB573,
CB583,TW01304,CB583,
CB744,TW01307,CB744,
CB746,TW01308,CB746,
CB781,TW01309,CB781,
CB785,TW01310,CB785,
84-5406,TW01377,84-5406,
GL_125-80,TW01377,84-5406,
86-10049,TW01378,DEC8C,
DEC8C,TW01378,DEC8C,
AOB-11,TW01380,B2464,
B2464/1/3,TW01380,B2464,
AOB-12,TW01381,S-22-1,
S-22-1,TW01381,S-22-1,
A9603-C1,TW01382,A9603-C1,
AOB-14,TW01382,A9603-C1,
A8368-C3,TW01383,DEC16E,
AOB-15,TW01383,DEC16E,
DEC16E,TW01383,DEC16E,
AOB-17,TW01384,B2464,
B2464/1/2,TW01384,B2464,
AOB-18,TW01385,D276,
D276/1/2,TW01385,D276,
AOB-19,TW01386,O189,
O189,TW01386,O189,
AOB-3,TW01387,CL-37,
CL-37,TW01387,CL-37,MLST-1
AOB-41,TW01388,B2619,
B2619/2/1,TW01388,B2619,
AOB-42,TW01389,B1696,
B1696/2/1,TW01389,B1696,
AOB-43,TW01390,D664,
D664/1,TW01390,D664,
AOB-44,TW01391,CL-3,MLST-1
CL-3,TW01391,CL-3,
AOB-50,TW01393,B2F1,MLST-1
B2F1,TW01393,B2F1,
AOB-6,TW01394,D360,
D360/4/1,TW01394,D360,
AOB-9,TW01395,CL-5,
CL-5,TW01395,CL-5,
M173,TW01397,M173,
M175,TW01398,M175,
M1780,TW01399,M1780,
M1832,TW01400,M1832,
M1834,TW01401,M1834,
M1835,TW01402,M1835,
M1839,TW01403,M1839,
M1840,TW01404,M1840,
DEC16C,TW01405,DEC16C,
M2098,TW01405,DEC16C,
M2101,TW01406,M2101,
M2113,TW01407,M2113,
M2114,TW01408,M2114,
M2115,TW01409,M2115,
M2156,TW01410,M2156,
M2266,TW01411,M2266,
M2324,TW01412,M2324,
M2403,TW01413,M2403,
M2405,TW01414,M2405,
M2415,TW01415,M2415,
M2430,TW01416,M2430,
M2431,TW01417,M2431,
M2432,TW01418,M2432,
M2443,TW01419,M2443,
M2444,TW01420,M2444,
M423,TW01421,M423,
M426,TW01422,M426,
M427,TW01423,M427,
M429,TW01424,M429,
M461,TW01425,M461,
M463,TW01426,M463,
M464,TW01427,M464,
M465,TW01428,M465,
M476,TW01429,M476,
M478,TW01430,M478,
M481,TW01431,M481,
M508,TW01432,M508,
M509,TW01433,M509,
M510,TW01434,M510,
M535,TW01435,M535,
M545,TW01436,M545,
M681,TW01437,M681,
M682,TW01438,M682,
M683,TW01439,M683,
M684,TW01440,M684,
M685,TW01441,M685,
M686,TW01442,M686,
M687,TW01443,M687,
M688,TW01444,M688,
M710,TW01445,M710,
M87,TW01446,M87,
3294-87,TW01448,3294-87,
870633,TW01450,87-5680,
875680,TW01450,87-5680,
87-9751,TW01451,87-9751,
89-118,TW01454,89-118,
D87214,TW01466,D87-214,
D87-214,TW01466,D87-214,
D87-4377,TW01467,D87-4377,
D89-4377,TW01467,D87-4377,
83-16193,TW01481,83-16193,
FM-68,TW01489,FM-68,
FM-84,TW01490,FM-84,
2203,TW01533,2203,
3006-87,TW01568,3006-87,
3019-87,TW01570,3019-87,
3021-87,TW01571,3021-87,
3259-87,TW01572,3259-87,
3299-87,TW01573,3299-87,
3318-87,TW01575,3318-87,
3363-87,TW01577,3363-87,
3390-87,TW01580,3390-87,
3391-87,TW01581,3391-87,
900021,TW01584,900021,
88-15863,TW01586,88-15863,
900094,TW01586,88-15863,
88-19274,TW01587,88-19274,
900095,TW01587,88-19274,
88-19539,TW01588,88-19539,
900096,TW01588,88-19539,
900097,TW01589,D88-28058,
D88-28058,TW01589,D88-28058,
89-329A,TW01590,89-329A,
900098,TW01590,89-329A,
89-947,TW01591,89-947,
900099,TW01591,89-947,
89-2036B,TW01593,89-2036B,
900101,TW01593,89-2036B,
89-3143,TW01594,89-3143,
900102,TW01594,89-3143,
900104,TW01596,D87-3784,
D87-3784,TW01596,D87-3784,
900105,TW01597,DEC10E,
DEC10E,TW01597,DEC10E,
89-5636,TW01598,89-5636,
900106,TW01598,89-5636,
89-7321,TW01599,89-7321,
900107,TW01599,89-7321,
89-7496-1,TW01600,89-7496-1,
900108,TW01600,89-7496-1,
89-7496-2,TW01601,89-7496-2,
900109,TW01601,89-7496-2,
900110,TW01602,D89-138804,
D89-138804,TW01602,D89-138804,
900111,TW01603,D89-21487,
D89-21487,TW01603,D89-21487,
900112,TW01604,D88-21606,
D88-21606,TW01604,D88-21606,
M2445,TW01640,M2445,
M2477,TW01641,M2477,
M2478,TW01642,M2478,
M2479,TW01643,M2479,
M2480,TW01644,M2480,
M2481,TW01645,M2481,
M2482,TW01646,M2482,
84-605,TW01654,84-605,
87-1163,TW01663,87-1163,
87-1713,TW01664,DEC10I,
DEC10I,TW01664,DEC10I,
87-1714,TW01665,87-1714,
87-1715,TW01666,87-1715,
87-1717,TW01667,87-1717,
87-1801,TW01668,87-1801,
87-1806,TW01669,87-1806,
87-1814,TW01670,87-1814,
87-2914,TW01671,87-2914,
87-2915,TW01672,87-2915,
87-2922,TW01673,87-2922,
87-2927,TW01674,87-2927,
87-2931,TW01675,87-2931,
87-302,TW01676,87-302,
87-304,TW01677,87-304,
87-307,TW01678,87-307,
87-313,TW01679,87-313,
87-318,TW01680,87-318,
88-1509,TW01681,88-1509,
88-1727,TW01682,88-1727,
88-2248,TW01683,88-2248,
88-2287,TW01684,88-2287,
88-2860,TW01685,88-2860,
88-817,TW01686,DEC10J,
DEC10J,TW01686,DEC10J,
89-2006,TW01687,89-2006,
89-2055,TW01688,89-2055,
89-2134,TW01689,89-2134,
89-2200,TW01690,89-2200,
89-2225,TW01691,89-2225,
3005-87,TW01784,3005-87,
3009-88,TW01788,DEC3D,
DEC3D,TW01788,DEC3D,
3029-87,TW01794,3029-87,
3235-87,TW01796,3235-87,
3247-87,TW01798,3247-87,
3253-87,TW01799,3253-87,
3300-87,TW01803,3300-87,
3308-87,TW01804,3308-87,
3356-87,TW01806,3356-87,
3357-87,TW01807,3357-87,
3364-87,TW01809,3364-87,
3365-87,TW01810,3365-87,
3370-87,TW01811,3370-87,
5380-66,TW01959,DEC5C,
DEC5C,TW01959,DEC5C,
870115,TW02289,ADL87-0448,
ADL87-0448,TW02289,ADL87-0448,
DEC10A,TW02294,H30,
AOB-1,TW02292,D276,
D276,TW02292,D276,
AOB-10,TW02293,B2464,
B2464/1/1,TW02293,B2464,
AOB-13,TW02294,H30,
H30,TW02294,H30,
AOB-16,TW02295,H19,
H19,TW02295,H19,
AOB-2,TW02296,B821,
B821/2/1,TW02296,B821,
AOB-20,TW02297,EPEC-198,
EPEC-198,TW02297,EPEC-198,
AOB-21,TW02298,EPEC-199,
EPEC_199,TW02298,EPEC-199,
AOB-22,TW02299,EDL-932,
"ATCC 43894",TW02299,EDL-932,
EDL-932,TW02299,EDL-932,
AOB-23,TW02300,CL-40,
CL-40,TW02300,CL-40,
A8993-CS2,TW02301,A8993-CS2,
AOB-24,TW02301,A8993-CS2,
AOB-25,TW02302,EDL-933,MLST
"ATCC 43895",TW02302,EDL-933,
DEC4F,TW02302,EDL-933,
EDL-933,TW02302,EDL-933,
AOB-26,TW02303,EDL-931,
FEC87011,TW07901,JP-1,
FEC87012,TW07902,JP-2,
FEC87013,TW07903,JP-3,
FEC87014,TW07904,JP-4,
FEC87067,TW07905,JP-5,
FEC87068,TW07906,JP-6,
FEC87069,TW07907,JP-7,
FEC87070,TW07908,JP-8,
FEC87071,TW07909,JP-9,
FEC87072-1,TW07910,JP-10,
FEC87072-2,TW07911,JP-11,
FEC87073,TW07912,JP-12,
FEC87075,TW07914,JP-14,
FEC87110,TW07915,JP-15,
FEC87111,TW07916,JP-16,
FEC87057-1,TW07917,JP-17,
ND3187,TW07918,JP-18,
PH,TW07919,JP-19,
PMK-5,TW07920,PMK-5,
TR-172,TW00046,DEC8A,
172,TW00046,DEC8A,
F6627,TW07926,3215-99,
3215-99,TW07926,3215-99,
PT-19,TW00093,PT-19,
B1191-1,TW00881,B1191-1,
880226,TW02376,213-2,
213-2,TW02376,213-2,
880238,TW02389,241-1,
241-1,TW02389,241-1,
88-01,TW06103,88-01,
TR-10,TW06200,TR-10,
DA-1,TW07927,DA-1,
DA-2,TW07928,DA-2,
DA-3,TW07929,DA-3,
DA-4,TW07930,DA-4,
DA-5,TW07931,DA-5,MLST-3
DA-6,TW07932,DA-6,
DA-7,TW07933,DA-7,
DA-8,TW07934,DA-8,
DA-9,TW07935,DA-9,
DA-10,TW07936,DA-10,MLST-5
DA-11,TW07937,DA-11,
DA-12,TW07938,DA-12,
DA-13,TW07939,DA-13,
DA-14,TW07940,DA-14,
DA-15,TW07941,DA-15,
DA-16,TW07942,DA-16,
DA-17,TW07943,DA-17,
DA-18,TW07944,DA-18,
DA-19,TW07945,DA-19,
DA-20,TW07946,DA-20,
DA-21,TW07947,DA-21,
DA-22,TW07948,DA-22,
DA-23,TW07949,DA-23,
DA-24,TW07950,DA-24,
DA-25,TW07951,DA-25,
DA-26,TW07952,DA-26,
DA-27,TW07953,DA-27,
DA-28,TW07954,DA-28,
DA-29,TW07955,DA-29,
DA-30,TW07956,DA-30,
DA-31,TW07957,DA-31,
DA-32,TW07958,DA-32,
DA-33,TW07959,DA-33,
DA-34,TW07960,DA-34,
DA-35,TW07961,DA-35,
DA-36,TW07962,DA-36,
DA-37,TW07972,DA-37,
DA-38,TW07973,DA-38,
DA-39,TW07974,DA-39,
DA-40,TW07975,DA-40,
DA-41,TW07976,DA-41,
DA-42,TW07977,DA-42,
DA-43,TW07978,DA-43,
DA-44,TW07979,DA-44,
DA-45,TW07980,DA-45,
DA-46,TW07981,DA-46,
DA-47,TW07982,DA-47,
DA-48,TW07983,DA-48,
DA-49,TW07984,DA-49,
DA-50,TW07985,DA-50,
DA-51,TW07986,DA-51,
DA-52,TW07987,DA-52,
DA-53,TW07988,DA-53,
DA-54,TW07989,DA-54,
DA-55,TW07990,DA-55,
DA-56,TW07991,DA-56,
DA-57,TW07992,DA-57,
DA-58,TW07993,DA-58,
DA-59,TW07994,DA-59,
DA-60,TW07995,DA-60,
DA-61,TW07996,DA-61,
DA-62,TW07997,DA-62,
DA-63,TW07998,DA-63,
DA-64,TW07999,DA-64,
DA-65,TW08000,DA-65,
DA-66,TW08001,DA-66,
DA-67,TW08002,DA-67,
DA-68,TW08003,DA-68,
DA-69,TW08004,DA-69,
DA-70,TW08005,DA-70,
DA-71,TW08006,DA-71,
DA-72,TW08007,DA-72,
DA-73,TW08008,DA-73,
DA-74,TW08009,DA-74,
DA-75,TW08010,DA-75,
DA-76,TW08011,DA-76,
K-12,TW08017,K-12,
CHMC-MT#1,TW08022,MT#1,
MT#1,TW08022,MT#1,
CHMC-MT#2,TW08023,MT#2,MLST-2
MT#2,TW08023,MT#2,
CHMC-MT#3,TW08024,MT#3,
MT#3,TW08024,MT#3,
CHMC-MT#4,TW08025,MT#4,
MT#4,TW08025,MT#4,
CHMC-MT#5,TW08026,MT#5,
MT#5,TW08026,MT#5,
CHMC-MT#6,TW08027,MT#6,
MT#6,TW08027,MT#6,
CHMC-MT#7,TW08028,MT#7,
MT#7,TW08028,MT#7,
CHMC-MT#8,TW08029,MT#8,
MT#8,TW08029,MT#8,
CHMC-MT#9,TW08030,MT#9,
MT#9,TW08030,MT#9,
CHMC-MT#10,TW08031,MT#10,
MT#10,TW08031,MT#10,
CHMC-MT#11,TW08032,MT#11,
MT#11,TW08032,MT#11,
CHMC-MT#12,TW08033,MT#12,
MT#12,TW08033,MT#12,
CHMC-MT#13,TW08034,MT#13,
MT#13,TW08034,MT#13,
CHMC-MT#14,TW08035,MT#14,
MT#14,TW08035,MT#14,
CHMC-MT#15,TW08036,MT#15,
MT#15,TW08036,MT#15,
